t_wall_s,elapsed_s,side,cam,temp_c
1783361218.7,116.1,left,7,34.50
1783361218.7,116.1,right,imu,28.04
1783361218.7,116.1,right,0,23.47
1783361218.7,116.1,right,1,23.96
1783361218.7,116.1,right,2,39.26
1783361218.7,116.1,right,3,28.97
1783361218.7,116.1,right,4,16.21
1783361218.7,116.1,right,5,31.20
1783361218.7,116.1,right,6,42.09
1783361218.7,116.1,right,7,12.39
1783361223.8,121.2,left,imu,33.36
1783361223.8,121.2,left,0,41.37
1783361223.8,121.2,left,1,52.13
1783361223.8,121.2,left,2,30.04
1783361223.8,121.2,left,3,30.06
1783361223.8,121.2,left,4,30.23
1783361223.8,121.2,left,5,27.59
1783361223.8,121.2,left,6,30.84
1783361223.8,121.2,left,7,28.36
1783361223.8,121.2,right,imu,27.90
1783361223.8,121.2,right,0,23.93
1783361223.8,121.2,right,1,23.50
1783361223.8,121.2,right,2,39.56
1783361223.8,121.2,right,3,29.12
1783361223.8,121.2,right,4,15.46
1783361223.8,121.2,right,5,24.59
1783361223.8,121.2,right,6,42.16
1783361223.8,121.2,right,7,12.24
1783361228.8,126.2,left,imu,33.56
1783361228.8,126.2,left,0,41.06
1783361228.8,126.2,left,1,52.44
1783361228.8,126.2,left,2,28.91
1783361228.8,126.2,left,3,30.29
1783361228.8,126.2,left,4,28.88
1783361228.8,126.2,left,5,26.62
1783361228.8,126.2,left,6,41.89
1783361228.8,126.2,left,7,27.75
1783361228.8,126.2,right,imu,28.04
1783361228.8,126.2,right,0,23.55
1783361228.8,126.2,right,1,23.28
1783361228.8,126.2,right,2,39.94
1783361228.8,126.2,right,3,29.12
1783361228.8,126.2,right,4,15.08
1783361228.8,126.2,right,5,29.47
1783361228.8,126.2,right,6,42.46
1783361228.8,126.2,right,7,12.02
1783361233.9,131.3,left,imu,33.41
1783361233.9,131.3,left,0,42.05
1783361233.9,131.3,left,1,41.52
1783361233.9,131.3,left,2,28.53
1783361233.9,131.3,left,3,30.81
1783361233.9,131.3,left,4,27.89
1783361233.9,131.3,left,5,27.14
1783361233.9,131.3,left,6,20.68
1783361233.9,131.3,left,7,28.51
1783361233.9,131.3,right,imu,28.04
1783361233.9,131.3,right,0,23.93
1783361233.9,131.3,right,1,23.20
1783361233.9,131.3,right,2,40.39
1783361233.9,131.3,right,3,29.20
1783361233.9,131.3,right,4,14.62
1783361233.9,131.3,right,5,24.74
1783361233.9,131.3,right,6,42.92
1783361233.9,131.3,right,7,11.79
1783361238.9,136.3,left,imu,33.32
1783361238.9,136.3,left,0,42.73
1783361238.9,136.3,left,1,32.19
1783361238.9,136.3,left,2,28.98
1783361238.9,136.3,left,3,30.74
1783361238.9,136.3,left,4,32.04
1783361238.9,136.3,left,5,27.67
1783361238.9,136.3,left,6,17.50
1783361238.9,136.3,left,7,28.36
1783361238.9,136.3,right,imu,28.14
1783361238.9,136.3,right,0,23.70
1783361238.9,136.3,right,1,22.82
1783361238.9,136.3,right,2,40.62
1783361238.9,136.3,right,3,29.88
1783361238.9,136.3,right,4,14.39
1783361238.9,136.3,right,5,28.72
1783361238.9,136.3,right,6,43.30
1783361238.9,136.3,right,7,11.71
1783361244.0,141.4,left,imu,33.22
1783361244.0,141.4,left,0,43.87
1783361244.0,141.4,left,1,27.57
1783361244.0,141.4,left,2,29.14
1783361244.0,141.4,left,3,30.89
1783361244.0,141.4,left,4,30.08
1783361244.0,141.4,left,5,28.35
1783361244.0,141.4,left,6,29.77
1783361244.0,141.4,left,7,28.51
1783361244.0,141.4,right,imu,27.95
1783361244.0,141.4,right,0,24.23
1783361244.0,141.4,right,1,22.97
1783361244.0,141.4,right,2,41.14
1783361244.0,141.4,right,3,29.88
1783361244.0,141.4,right,4,13.94
1783361244.0,141.4,right,5,29.70
1783361244.0,141.4,right,6,43.30
1783361244.0,141.4,right,7,11.63
1783361249.0,146.4,left,imu,33.41
1783361249.0,146.4,left,0,12.25
1783361249.0,146.4,left,1,24.23
1783361249.0,146.4,left,2,28.98
1783361249.0,146.4,left,3,31.04
1783361249.0,146.4,left,4,29.78
1783361249.0,146.4,left,5,29.10
1783361249.0,146.4,left,6,27.12
1783361249.0,146.4,left,7,28.66
1783361249.0,146.4,right,imu,28.24
1783361249.0,146.4,right,0,23.85
1783361249.0,146.4,right,1,23.05
1783361249.0,146.4,right,2,13.70
1783361249.0,146.4,right,3,25.95
1783361249.0,146.4,right,4,13.34
1783361249.0,146.4,right,5,13.85
1783361249.0,146.4,right,6,43.68
1783361249.0,146.4,right,7,11.56
1783361254.1,151.4,left,imu,33.41
1783361254.1,151.4,left,0,9.75
1783361254.1,151.4,left,1,27.64
1783361254.1,151.4,left,2,28.76
1783361254.1,151.4,left,3,28.55
1783361254.1,151.4,left,4,29.78
1783361254.1,151.4,left,5,30.07
1783361254.1,151.4,left,6,27.96
1783361254.1,151.4,left,7,28.66
1783361254.1,151.4,right,imu,27.95
1783361254.1,151.4,right,0,24.23
1783361254.1,151.4,right,1,22.82
1783361254.1,151.4,right,2,17.54
1783361254.1,151.4,right,3,27.00
