t_wall_s,elapsed_s,side,cam,temp_c
1783368082.0,86.2,left,imu,30.34
1783368082.0,86.2,left,0,22.43
1783368082.0,86.2,left,1,24.33
1783368082.0,86.2,left,2,27.06
1783368082.0,86.2,left,3,26.29
1783368082.0,86.2,left,4,32.30
1783368082.0,86.2,left,5,24.34
1783368082.0,86.2,left,6,62.49
1783368082.0,86.2,left,7,25.47
1783368082.0,86.2,right,imu,30.68
1783368082.0,86.2,right,0,23.11
1783368082.0,86.2,right,1,24.40
1783368082.0,86.2,right,2,64.20
1783368082.0,86.2,right,3,28.00
1783368082.0,86.2,right,4,32.48
1783368082.0,86.2,right,5,38.64
1783368082.0,86.2,right,6,54.70
1783368082.0,86.2,right,7,24.89
1783368087.1,91.3,left,imu,30.68
1783368087.1,91.3,left,0,22.74
1783368087.1,91.3,left,1,24.56
1783368087.1,91.3,left,2,26.98
1783368087.1,91.3,left,3,25.69
1783368087.1,91.3,left,4,32.46
1783368087.1,91.3,left,5,25.19
1783368087.1,91.3,left,6,62.49
1783368087.1,91.3,left,7,25.17
1783368087.1,91.3,right,imu,30.49
1783368087.1,91.3,right,0,23.03
1783368087.1,91.3,right,1,24.55
1783368087.1,91.3,right,2,63.74
1783368087.1,91.3,right,3,28.00
1783368087.1,91.3,right,4,32.56
1783368087.1,91.3,right,5,38.71
1783368087.1,91.3,right,6,55.00
1783368087.1,91.3,right,7,24.66
1783368092.1,96.3,left,imu,30.58
1783368092.1,96.3,left,0,22.59
1783368092.1,96.3,left,1,24.41
1783368092.1,96.3,left,2,26.91
1783368092.1,96.3,left,3,25.84
1783368092.1,96.3,left,4,32.53
1783368092.1,96.3,left,5,24.34
1783368092.1,96.3,left,6,62.41
1783368092.1,96.3,left,7,25.39
1783368092.1,96.3,right,imu,30.68
1783368092.1,96.3,right,0,23.03
1783368092.1,96.3,right,1,24.55
1783368092.1,96.3,right,2,63.44
1783368092.1,96.3,right,3,27.93
1783368092.1,96.3,right,4,32.56
1783368092.1,96.3,right,5,38.87
1783368092.1,96.3,right,6,55.00
