t_wall_s,elapsed_s,side,cam,temp_c
1783375593.3,152.0,right,6,39.27
1783375593.3,152.0,right,7,33.62
1783375598.3,157.1,left,imu,36.05
1783375598.3,157.1,left,0,28.51
1783375598.3,157.1,left,1,31.93
1783375598.3,157.1,left,2,35.39
1783375598.3,157.1,left,3,39.97
1783375598.3,157.1,left,4,40.46
1783375598.3,157.1,left,5,40.24
1783375598.3,157.1,left,6,41.55
1783375598.3,157.1,left,7,34.55
1783375598.3,157.1,right,imu,35.76
1783375598.3,157.1,right,0,29.02
1783375598.3,157.1,right,1,30.16
1783375598.3,157.1,right,2,34.86
1783375598.3,157.1,right,3,39.14
1783375598.3,157.1,right,4,38.73
1783375598.3,157.1,right,5,38.79
1783375598.3,157.1,right,6,39.12
1783375598.3,157.1,right,7,33.47
1783375603.4,162.1,left,imu,36.19
1783375603.4,162.1,left,0,28.51
1783375603.4,162.1,left,1,31.86
1783375603.4,162.1,left,2,35.31
1783375603.4,162.1,left,3,39.75
1783375603.4,162.1,left,4,40.31
1783375603.4,162.1,left,5,40.08
1783375603.4,162.1,left,6,41.40
1783375603.4,162.1,left,7,34.48
1783375603.4,162.1,right,imu,35.66
1783375603.4,162.1,right,0,28.87
1783375603.4,162.1,right,1,30.09
1783375603.4,162.1,right,2,34.64
1783375603.4,162.1,right,3,38.99
1783375603.4,162.1,right,4,38.51
1783375603.4,162.1,right,5,38.64
1783375603.4,162.1,right,6,38.97
1783375603.4,162.1,right,7,33.39
1783375608.5,167.2,left,imu,36.14
1783375608.5,167.2,left,0,28.51
1783375608.5,167.2,left,1,31.71
1783375608.5,167.2,left,2,35.16
1783375608.5,167.2,left,3,39.59
1783375608.5,167.2,left,4,40.16
1783375608.5,167.2,left,5,39.85
1783375608.5,167.2,left,6,41.17
1783375608.5,167.2,left,7,34.33
1783375608.5,167.2,right,imu,35.62
1783375608.5,167.2,right,0,28.87
1783375608.5,167.2,right,1,30.09
1783375608.5,167.2,right,2,34.56
1783375608.5,167.2,right,3,38.84
1783375608.5,167.2,right,4,38.36
1783375608.5,167.2,right,5,38.49
1783375608.5,167.2,right,6,38.74
1783375608.5,167.2,right,7,33.24
1783375613.5,172.3,left,imu,36.00
1783375613.5,172.3,left,0,28.51
1783375613.5,172.3,left,1,31.55
1783375613.5,172.3,left,2,35.01
1783375613.5,172.3,left,3,39.44
1783375613.5,172.3,left,4,39.92
1783375613.5,172.3,left,5,39.70
1783375613.5,172.3,left,6,41.02
1783375613.5,172.3,left,7,34.18
1783375613.5,172.3,right,imu,35.52
1783375613.5,172.3,right,0,28.87
1783375613.5,172.3,right,1,30.09
1783375613.5,172.3,right,2,34.41
1783375613.5,172.3,right,3,38.69
1783375613.5,172.3,right,4,38.13
